CountryCode&CustomerId,Yearly Call Duration (in Mins),Call Count,Data Usage,Complaints,Subscription  Length,Age Group,Tariff Plan,Churn
0086+2211,485,14,18,0,42,21-30,4,No
0049+2217,6303,112,44,0,41,21-30,4,No
0044+2219,3475,55,27,1,40,31-40,3,Yes
001+2222,7270,111,32,0,38,51-60,4,No
001+2237,9418,185,91,0,20,51-60,4,No
0061+2240,1973,33,18,0,14,31-40,3,No
0049+2247,9240,119,140,0,36,31-40,3,No
0044+2250,6043,93,7,0,37,31-40,3,No
001+2251,438,7,34,0,35,41-50,3,Yes
0049+2253,650,47,17,0,36,31-40,3,Yes
0049+2254,15610,180,146,0,36,21-30,3,No
001+2256,1000,12,7,0,36,21-30,3,No
0049+2257,835,12,9,0,37,31-40,3,No
0049+2263,5943,96,22,0,35,21-30,4,No
001+2264,2965,20,7,0,33,31-40,3,No
001+2275,2905,51,171,0,35,21-30,3,No
0049+2286,1223,21,35,0,41,31-40,4,No
0086+2289,3298,74,30,0,40,21-30,4,No
0049+2290,4680,98,60,0,40,31-40,4,No
0086+2294,5420,99,30,0,40,31-40,4,No
0061+2295,1933,48,1,0,36,31-40,3,Yes
0061+2298,4000,43,511,0,40,41-50,4,No
0049+2301,1780,30,28,0,39,21-30,3,No
0061+2304,12370,170,39,0,39,41-50,3,No
0086+2305,7623,91,136,0,39,21-30,3,No
0044+2308,6723,114,54,0,38,31-40,3,No
0061+2311,1095,16,7,0,18,21-30,3,Yes
0044+2312,1038,18,28,0,38,31-40,4,No
0049+2313,2573,41,28,0,38,41-50,4,No
001+2318,7870,132,299,0,36,31-40,3,No
0061+2319,4623,98,30,0,38,31-40,3,No
0049+2323,1363,28,6,1,34,31-40,4,Yes
0086+2328,7298,157,113,0,39,21-30,4,No
0049+2330,3758,61,59,0,18,31-40,4,No
0044+2331,4075,67,7,0,40,31-40,4,No
0086+2335,2098,54,7,0,40,21-30,3,No
0044+2337,2065,35,271,0,40,31-40,3,No
0044+2338,700,25,10,0,27,21-30,4,Yes
0086+2343,14845,221,40,0,40,31-40,3,No
0061+2348,7213,123,370,0,39,31-40,4,No
0049+2350,6423,71,94,0,39,21-30,3,No
0086+2352,10140,89,7,0,38,51-60,3,No
001+2357,1338,18,17,1,37,41-50,4,Yes
0061+2358,1373,21,7,0,38,41-50,3,No
0086+2363,1818,42,0,0,35,31-40,3,Yes
0044+2369,825,10,21,0,26,41-50,3,Yes
001+2373,890,25,7,0,28,21-30,3,Yes
0061+2377,1753,40,0,0,33,31-40,4,Yes
0049+2378,4195,94,71,0,41,31-40,4,No
0086+2382,4935,95,41,0,41,41-50,3,No
0044+2384,2658,66,47,1,41,41-50,3,No
0061+2386,3515,39,522,0,41,41-50,3,No
0086+2389,1295,26,39,0,40,31-40,4,No
0086+2390,1130,26,52,0,41,31-40,3,No
001+2391,420,12,39,0,40,31-40,3,No
0049+2393,1263,27,15,0,19,41-50,3,Yes
0044+2399,710,11,8,0,38,21-30,4,Yes
0049+2402,2088,37,39,0,39,41-50,4,No
0086+2408,4138,94,41,0,39,31-40,3,No
0044+2410,745,21,7,0,23,21-30,4,Yes
0086+2411,1735,48,232,0,30,31-40,3,No
0049+2414,1893,29,7,0,34,21-30,4,Yes
0044+2417,2115,38,67,0,21,31-40,3,No
0061+2420,3273,57,70,0,19,41-50,3,No
0044+2430,4705,83,7,0,39,31-40,3,No
0061+2433,15330,225,29,0,39,31-40,4,No
0086+2434,6690,86,161,0,38,31-40,3,No
0086+2448,818,7,7,0,37,41-50,3,No
001+2452,2970,53,150,0,37,21-30,3,No
0044+2458,1885,26,7,0,19,21-30,3,No
0061+2464,2948,67,375,0,39,31-40,3,No
001+2465,4693,73,17,0,40,16-20,3,No
0061+2469,5010,90,18,0,40,31-40,4,No
0044+2478,8003,134,400,0,39,31-40,3,No
001+2480,708,9,19,1,40,21-30,4,Yes
001+2483,6313,105,42,0,38,21-30,3,No
001+2484,3485,48,25,1,37,31-40,3,No
001+2487,7280,104,30,0,35,51-60,3,No
0086+2489,833,11,20,0,38,51-60,4,No
0086+2490,7460,123,287,0,36,31-40,4,No
0044+2491,4213,89,18,0,38,31-40,3,No
0044+2494,1810,43,209,0,29,31-40,3,No
0086+2502,9427,178,89,0,17,51-60,4,No
001+2506,433,10,5,0,41,31-40,3,No
0086+2510,3890,87,30,0,40,31-40,3,No
0061+2523,10550,98,0,0,38,51-60,3,No
0044+2526,1223,37,0,0,35,31-40,4,Yes
001+2527,1783,30,0,0,38,41-50,4,Yes
0086+2528,933,7,8,0,33,41-50,4,Yes
0086+2532,16190,243,0,0,33,21-30,4,No
001+2533,7080,121,269,0,36,31-40,4,No
0044+2536,2895,58,173,0,38,21-30,3,No
0044+2539,815,30,8,0,29,31-40,3,No
0086+2540,1068,15,0,0,36,31-40,4,Yes
001+2542,3340,66,6,0,27,31-40,3,No
0049+2544,6507,146,83,0,19,21-30,4,No
0061+2546,4675,71,4,0,35,21-30,3,No
0049+2550,2665,39,284,0,35,31-40,4,No
0086+2554,15445,225,53,0,35,31-40,3,No
001+2555,820,27,1,0,26,21-30,4,Yes
001+2559,1015,14,12,0,35,21-30,3,No
0049+2561,11770,154,10,0,34,31-40,4,No
0049+2568,438,2,0,0,33,31-40,4,No
0086+2573,7270,116,270,0,31,21-30,4,No
0049+2576,3085,53,174,0,33,21-30,3,No
001+2577,1620,36,192,0,24,21-30,4,No
001+2582,2000,26,27,0,15,21-30,3,No
0049+2602,7023,87,123,0,44,31-40,3,No
0049+2604,10740,105,16,0,43,51-60,3,No
0086+2609,528,5,13,0,36,51-60,3,Yes
0061+2613,595,8,0,0,37,21-30,3,Yes
0061+2619,1620,48,208,0,34,31-40,4,No
0044+2621,1005,37,25,0,34,31-40,3,No
0086+2623,2000,38,43,0,25,31-40,3,No
0044+2627,4695,52,230,0,16,31-40,4,No
0049+2628,1792,31,15,0,16,31-40,3,No
0086+2634,10130,138,159,0,40,31-40,3,No
0044+2637,3253,71,23,0,41,41-50,3,No
0086+2638,875,14,0,0,37,21-30,4,Yes
0061+2641,7515,103,201,0,40,31-40,3,No
0049+2650,3283,61,49,1,39,41-50,3,No
0061+2667,1988,53,0,0,39,21-30,4,No
0044+2671,13368,164,0,0,39,31-40,4,No
0049+2675,6095,81,168,0,38,31-40,4,No
0044+2678,550,42,0,0,34,31-40,3,No
001+2681,2585,36,0,1,36,31-40,3,Yes
0086+2682,1863,39,16,0,37,31-40,3,No
0086+2694,2447,40,13,0,17,31-40,4,No
0049+2695,4675,77,12,0,40,31-40,3,No
001+2698,2698,64,9,0,40,21-30,3,No
0049+2702,6223,101,14,0,40,31-40,3,No
001+2703,15445,231,61,0,40,31-40,4,No
0086+2709,7813,133,391,0,39,31-40,4,No
0044+2711,7023,81,115,0,39,21-30,4,No
001+2712,1260,53,23,1,35,31-40,3,No
0061+2715,2573,50,41,0,38,41-50,3,No
0044+2717,7090,103,21,0,35,51-60,3,No
0086+2718,933,13,16,0,38,41-50,3,No
0061+2719,643,10,11,0,38,51-60,4,No
0049+2720,7270,122,278,0,36,31-40,4,No
001+2734,2698,64,9,0,40,21-30,4,No
0086+2738,14078,175,7,0,40,31-40,4,No
0044+2745,7813,133,391,0,39,31-40,3,No
0086+2750,3295,47,16,1,37,31-40,3,Yes
001+2751,2573,50,41,1,38,41-50,3,No
0061+2753,1973,31,7,0,38,41-50,4,No
0086+2762,1530,38,26,0,27,21-30,3,No
0044+2763,3530,67,15,0,27,31-40,3,No
0061+2764,2000,32,35,0,20,31-40,3,No
0086+2765,9237,177,80,0,17,51-60,3,No
